3,0.805,41.1,0.253,87.33,1.525,,,
9.461,0.734,31.3,0.369,97.33,2.1006,,,
5.1,0.431,33,0.671,79.67,2.729,,,
2.5,0.894,28.7,0.175,67.33,2.1006,,,
9.461,0.702,38.2896,0.346,118.00,2.1006,,,
11.9,0.542,32.6,0.634,63.00,2.287,,,
5.3,0.801,36.8,0.347,105.17,1.544,,,
7.1,0.776,45.4,0.322,59.50,2.572,,,
9.461,0.618,40.1,0.346,118.00,2.1006,,,
9.461,0.746,25.7,0.204,118.00,1.95,,,
9.461,0.717,38.2896,0.346,78.89,2.1006,,,
21.3,0.735,32.7,0.322,31.67,1.723,,,
2.5,0.826,38.5,0.109,78.00,1.944,,,
4.3,0.68,39.5,0.454,79.67,2.057,,,
32.6,0.452,54,0.523,2.67,2.135,,,
14.1,0.579,30.7,0.478,31.33,2.424,,,
14.7,0.645,59.1,0.440,98.17,1.861,,,
9.461,0.717,34.8,0.346,78.89,2.1006,,,
6.1,0.596,32.8,0.452,20.00,1.974,,,
2.5,0.942,28.1,0.043,97.17,1.528,,,
2.5,0.928,38.2896,0.123,66.33,1.198,,,
17.2,0.659,46.2,0.428,58.00,2.553,,,
9.461,0.391,34.3,0.642,18.17,2.608,,,
12.6,0.534,35.1,0.346,70.00,2.865,,,
9.461,0.717,38.2896,0.346,78.89,2.1006,,,
3.1,0.77,33,0.143,118.00,1.9,,,
2.5,0.956,27.6,0.045,92.33,1.496,,,
7.8,0.813,38.2896,0.306,84.67,1.941,,,
12.3,0.552,31.6,0.538,25.00,2.973,,,
9.461,0.822,38.2896,0.346,78.89,2.1006,,,
9.461,0.708,38.2896,0.346,78.89,2.699,,,
6.9,0.812,49.8,0.407,108.33,1.875,,,
9.461,0.549,41.9,0.725,58.67,2.157,,,
8.8,0.727,45.7,0.446,30.00,1.991,,,
6.7,0.771,41.5,0.395,56.33,2.066,,,
14.5,0.711,42.3,0.430,26.67,2.471,,,
2.5,0.877,30.2,0.115,80.00,1.657,,,
2.5,0.86,33.5,0.075,48.33,1.247,,,
9.461,0.845,38.2896,0.185,118.00,1.616,,,
2.5,0.823,35.8,0.276,104.50,1.541,,,
2.5,0.823,37.5,0.225,50.67,3.049,,,
35.6,0.54,43.7,0.402,53.33,2.049,,,
9.461,0.773,38.2896,0.346,118.00,2.1006,,,
9.461,0.758,51.2,0.401,118.00,2.1006,,,
9.461,0.736,38.2896,0.346,118.00,2.1006,,,
2.5,0.709,38.7,0.360,118.00,2.1006,,,
9.461,0.717,38.2896,0.346,78.89,2.1006,,,
12,0.624,56.3,0.537,78.89,2.1006,,,
4.8,0.854,38.2896,0.252,73.00,2.443,,,
9.4,0.516,40.3,0.533,67.50,1.824,,,
4.6,0.803,36.2,0.132,92.00,1.846,,,
9.461,0.79,32.1,0.346,118.00,2.1006,,,
26,0.447,35.7,0.644,76.50,1.82,,,
9.461,0.936,38.2896,0.065,118.00,1.321,,,
6.1,0.858,25,0.191,77.17,1.568,,,
2.5,0.912,24.6,0.063,91.83,1.369,,,
13.2,0.564,37.1,0.346,118.00,2.1006,,,
9.461,0.717,36.8,0.346,78.89,3.302,,,
5.7,0.707,63,0.406,32.50,2.317,,,
13.839137,0.717,38.2896,0.346,78.89,2.1006,,,
9.461,0.429,44.1,0.346,17.33,3.447,,,
2.5,0.905,34.7,0.070,42.83,1.712,,,
7.6,0.779,39.3,0.401,41.83,2.003,,,
